filename_prompt,prompt,pairwise score,holistic_score,Word_Count,WN_Zscore_CW,error_count,error_count_normed,KF_Ncats_CW,adjacent_overlap_2_noun_para_div_seg,PLD_CW,OLDF,basic_ncontent_tokens,LD_Mean_RT,COCA_fiction_Frequency_CW,adjacent_overlap_2_pronoun_para,aoe_index_above_threshold_40,Phono_N_H,lexical_density_types,OG_N_CW,COCA_fiction_tri_prop_10k,misspelling,misspelling_normed,VP_T,adjacent_overlap_2_noun_para,COCA_Fiction_Bigram_Range_Log,McD_CD,lexical_density_tokens,COCA_spoken_bi_prop_50k,adjacent_overlap_2_verb_sent_div_seg,lsa_2_all_sent,adjacent_overlap_binary_2_adv_para,adjacent_overlap_all_sent_div_seg,COCA_spoken_Bigram_Range,adjacent_overlap_binary_argument_para,syn_overlap_sent_verb,error_count_z,OLDF_z,basic_ncontent_tokens_z,VP_T_z,adjacent_overlap_2_noun_para_z,PLD_CW_z,adjacent_overlap_binary_argument_para_z,error_count_normed_z
1_WPS5_B1_145_Images_and_Impressions.txt,image,-0.07472,3.5,187,-0.537431193,4,2.139037433,13.62037037,5,1.809633028,8.343743316,84,620.9634225,984.5847767,0.6,1.75,19.0855615,0.609195402,4.082568807,0.059459459,1,0.534759358,2.133333333,0.476190476,-1.372747363,0.800342541,0.477272727,0.650537634,0.555555556,0.75929387,0,1.7,0.133406557,1,0.7,-0.124758622,-0.650968201,-1.388079063,-0.559704221,0.903226729,0.165994755,0.52786369,0.21704047
1_WPS5_B1_156_Images_and_Impressions.txt,image,-1.24568,2,219,-0.489230769,4,1.826484018,13.6796875,0,1.615503876,8.555972222,82,624.3521198,1303.683147,0,1.213333333,24.41935484,0.489361702,4.561538462,0.101382488,2,0.913242009,3.166666667,0,-1.176025205,0.758557143,0.401960784,0.678899083,1,0.663726859,0,3.375,0.13970369,0,1.875,-0.124758622,1.157341779,-1.464415301,0.440669921,-1.299519342,-1.1892163,-2.104599387,0.063196072
1_WPS5_B1_196_Images_and_Impressions.txt,image,0.91907,3,244,-0.514090909,3,1.229508197,13.25954198,2,1.570454545,8.450909091,109,611.8359917,728.6503971,0.6,1.520408163,20.69008264,0.577586207,3.613636364,0.070247934,2,0.819672131,3.1,0.266666667,-1.336425667,0.838952586,0.469827586,0.600823045,0.571428571,0.726087264,0,4.75,0.147648308,1,0.375,-0.301721206,0.262144645,-0.433876091,0.376129653,-0.06598154,-1.503704622,0.52786369,-0.230646137
1_WPS5_B1_201_Images_and_Impressions.txt,image,-0.33766,4,356,-0.513681592,2,0.561797753,13.25510204,8,1.81975,8.399856322,146,618.2750143,923.7383457,0.5,2.404255319,19.71060172,0.618055556,2.895522388,0.050847458,1,0.280898876,2.666666667,0.4,-1.314199984,0.82880117,0.442424242,0.625352113,0.8125,0.805914577,1,4.647058824,0.126737131,1,0.882352941,-0.47868379,-0.172853741,0.978344307,-0.043382083,0.550787358,0.236621099,0.52786369,-0.559305196
1_WPS5_B1_226_Images_and_Impressions.txt,image,0.59689,3.5,201,-0.484918033,2,0.995024876,12.78813559,3,1.869672131,8.332474747,83,622.8013131,1015.913714,0.714285714,2.534883721,19.40703518,0.61,2.869918699,0.060301508,1,0.497512438,2.545454545,0.375,-1.298502567,0.775201058,0.461111111,0.585,0.111111111,0.69797136,0.5,2.2,0.126323475,1,0.4,-0.47868379,-0.746982764,-1.426247182,-0.160728024,0.43514319,0.585126324,0.52786369,-0.346063034
1_WPS5_B1_273_Images_and_Impressions.txt,image,1.95227,5,305,-0.412263158,3,0.983606557,11.52,5,2.398913043,8.081790541,170,642.8554636,274.3641034,1,3.36746988,13.35430464,0.725490196,1.410526316,0.02640264,2,0.655737705,2.333333333,0.303030303,-1.504129311,1.026189474,0.580204778,0.388157895,0.461538462,0.727592951,1,3.857142857,0.103016461,1,0.285714286,-0.301721206,-2.882953589,1.89437916,-0.36608342,0.102228158,4.279744711,0.52786369,-0.351683335
1_WPS5_B2_120_Images_and_Impressions.txt,image,0.04742,4,317,-0.533208556,4,1.261829653,13.76630435,5.666666667,1.681793478,8.447290323,153,622.9027476,1116.338032,0.785714286,1.948529412,18.16455696,0.621621622,3.678947368,0.057142857,0,0,2.75,0.414634146,-1.320263867,0.817577922,0.515151515,0.617088608,0.470588235,0.792340983,0,4.111111111,0.141106178,1,0.833333333,-0.124758622,0.231310701,1.245521139,0.03729325,0.618481504,-0.726450144,0.52786369,-0.214736936
1_WPS5_B2_128_Images_and_Impressions.txt,image,-0.88392,3,253,-0.572847222,3,1.185770751,13.97163121,3.333333333,1.623722628,8.432745902,113,613.3038247,1169.901077,0.888888889,1.344086022,19.96825397,0.594059406,3.972413793,0.067729084,1,0.395256917,2.882352941,0.476190476,-1.248448358,0.700742739,0.478813559,0.654761905,0.769230769,0.811947638,1,3.285714286,0.145284353,1,0.5,-0.301721206,0.107384031,-0.281203616,0.165424663,0.903226729,-1.131841385,0.52786369,-0.252174492
1_WPS5_B2_137_Images_and_Impressions.txt,image,0.32864,3.5,374,-0.543553299,2,0.534759358,13.58031088,6,1.658762887,8.545718232,157,616.362274,932.8531659,0.666666667,1.73381295,21.89071038,0.62745098,4.045454545,0.077956989,1,0.267379679,2.590909091,0.1875,-1.299435288,0.744291317,0.446022727,0.63002681,0.75,0.668012252,1,2.764705882,0.124012102,1,1.176470588,-0.47868379,1.069972001,1.398193615,-0.116723296,-0.432188076,-0.887226159,0.52786369,-0.572613979
1_WPS5_B2_167_Images_and_Impressions.txt,image,0.515,3,225,-0.537313433,2,0.888888889,12.48031496,4,1.811742424,8.427375566,97,623.9333632,1031.417117,0.8,1.833333333,22.16591928,0.634782609,3.940298507,0.080717489,2,0.888888889,2.785714286,0.666666667,-1.266684896,0.907495283,0.461904762,0.566964286,0,0.635287542,1,2.230769231,0.152377448,1,0.461538462,-0.47868379,0.061625739,-0.891893518,0.071868394,1.78432516,0.180720399,0.52786369,-0.398305071
1_WPS5_B2_169_Images_and_Impressions.txt,image,-1.11292,3,249,-0.485486111,4,1.606425703,12.48201439,0,1.903125,8.352024793,117,631.4755785,840.6249318,0,2.585858586,18.48559671,0.6796875,3.034482759,0.016194332,2,0.803212851,3.333333333,0,-1.38375355,0.943587234,0.504310345,0.524193548,0.5,0.630327777,0,3.272727273,0.132859329,1,0.363636364,-0.124758622,-0.580405346,-0.12853114,0.602020588,-1.299519342,0.818660018,0.52786369,-0.045120579
1_WPS5_B2_189_Images_and_Impressions.txt,image,-0.84196,3,230,-0.506198347,1,0.434782609,13.54545455,9,1.715289256,8.515442478,93,620.0637611,928.5030269,0.75,2.253012048,19.40265487,0.597701149,3.785123967,0.065789474,0,0,6,0.692307692,-1.281732348,0.835836283,0.418918919,0.737991266,2.5,0.837487966,1,9.8,0.16240231,1,5.4,-0.655646375,0.8120055,-1.044565993,3.183631276,1.902934561,-0.492616904,0.52786369,-0.621824328
1_WPS5_B2_204_Images_and_Impressions.txt,image,-0.09548,3.5,323,-0.448980583,0,0,12.80612245,0,2.108252427,8.153219814,151,633.8282663,841.3334371,0,2.850931677,17.86377709,0.657894737,2.995145631,0.031152648,0,0,2.714285714,0,-1.45015409,0.885961538,0.5,0.537267081,0.235294118,0.708770223,0,2.611111111,0.101810678,0,0.333333333,-0.832608959,-2.274335896,1.169184901,0.002718107,-1.299519342,2.250649772,-2.104599387,-0.835832128
1_WPS5_B2_214_Images_and_Impressions.txt,image,1.00168,3,211,-0.509,1,0.473933649,12.92105263,0,1.823529412,8.338067633,97,623.6708654,1113.287805,0,1.740740741,16.42788462,0.605263158,3.7,0.038277512,0,0,2.384615385,0,-1.336822714,0.726416667,0.48989899,0.504761905,0.375,0.715787952,0,3.111111111,0.135719858,1,1.333333333,-0.655646375,-0.699328221,-0.891893518,-0.31643706,-1.299519342,0.263005085,0.52786369,-0.602553484
1_WPS5_B2_240_Images_and_Impressions.txt,image,-1.70419,1,247,-0.579469697,22,8.906882591,13.88636364,0,1.483206107,8.678861789,111,604.611417,968.4843053,0,0.989473684,24.21862348,0.572815534,5.015151515,0.093877551,14,5.668016194,8.333333333,0,-1.175775091,0.679429752,0.449392713,0.674796748,2,0.79341421,0,9.75,0.151169669,1,9.5,3.060567894,2.204430201,-0.357539854,5.442540627,-1.299519342,-2.112783921,0.52786369,3.54829527
1_WPS5_B2_245_Images_and_Impressions.txt,image,-0.0772,3.5,361,-0.58057971,5,1.385041551,14.10243902,5,1.653940887,8.503904494,143,617.8721111,1287.583778,1,1.512195122,19.19166667,0.581967213,4.241545894,0.058495822,0,0,2.947368421,0.5,-1.384088373,0.801301994,0.413294798,0.647222222,1,0.703167961,1,5.6,0.12950345,1,0.933333333,0.052203962,0.713695369,0.86383995,0.22836641,1.013364033,-0.920888428,0.52786369,-0.15408983
1_WPS5_B2_251_Images_and_Impressions.txt,image,-1.65906,2.5,220,-0.538037383,16,7.272727273,14.20560748,0,1.661682243,8.62038835,82,611.3330097,1202.820784,0,1.852941176,22.82125604,0.477777778,3.87962963,0.119266055,16,7.272727273,3.307692308,0,-1.172686497,0.664385366,0.4,0.657534247,2,0.839558632,0,6.125,0.177027196,0,2.375,1.998792389,1.706203521,-1.464415301,0.577197409,-1.299519342,-0.866846203,-2.104599387,2.743934706
2_WPS5_A1_106_Competition_and_Cooperation.txt,competition,-0.41662,3.5,216,-0.513728814,2,0.925925926,13.25217391,0,1.571491228,8.67752381,77,615.9084112,1218.783114,0,2.453333333,25.49302326,0.578313253,4.142857143,0.135514019,1,0.462962963,2.888888889,0,-1.190767154,0.729995122,0.381188119,0.665116279,0.833333333,0.778766385,0,3.076923077,0.167172108,0,0.923076923,-0.47868379,2.193029866,-1.655255895,0.17175214,-1.299519342,-1.496467563,-2.104599387,-0.380074777
2_WPS5_A1_135_Competition_and_Cooperation.txt,competition,0.65993,4.5,349,-0.515424528,5,1.432664756,13.475,3,1.759478673,8.406810345,158,617.2744986,1043.761364,0.571428571,2.079136691,21.69340974,0.579365079,3.825471698,0.09221902,1,0.286532951,2.52,0.36,-1.229016745,0.730377246,0.489164087,0.57183908,1,0.730478544,1,2.590909091,0.156260153,1,1.090909091,0.052203962,-0.113601543,1.436361734,-0.185370671,0.365756688,-0.18413162,0.52786369,-0.130648834
2_WPS5_A1_172_Competition_and_Cooperation.txt,competition,-0.00113,3.5,357,-0.530687831,29,8.1232493,13.39772727,2.666666667,1.626612903,8.576189112,146,616.9860511,1103.18362,0.923076923,1.175,24.2776204,0.50877193,5.194736842,0.076056338,4,1.120448179,3.12,0.380952381,-1.237614492,0.712838323,0.41011236,0.671348315,1.142857143,0.78916591,0.333333333,3.681818182,0.147552744,1,1.090909091,4.299305984,1.329601084,0.978344307,0.395491733,0.462677516,-1.111664443,0.52786369,3.162576906
2_WPS5_A1_178_Competition_and_Cooperation.txt,competition,-0.28044,3.5,283,-0.468064516,1,0.35335689,13.41549296,0,1.810855263,8.577096774,118,618.4487943,1336.11671,0,1.902173913,25.4929078,0.582608696,4.393548387,0.128113879,0,0,2.944444444,0,-1.179246196,0.812560886,0.441947566,0.673758865,1.916666667,0.677690917,0,4.384615385,0.171064195,0,2.846153846,-0.655646375,1.337334876,-0.090363021,0.225535696,-1.299519342,0.174527149,-2.104599387,-0.661903528
2_WPS5_A1_213_Competition_and_Cooperation.txt,competition,0.95191,4,272,-0.490647059,0,0,13.3006135,7,1.786470588,8.477638376,131,615.7026199,782.1483244,1,2.182539683,21.97416974,0.618320611,4.158823529,0.048148148,0,0,2.5,0.875,-1.412771095,0.930756554,0.509727626,0.557195572,0.428571429,0.70232193,1,2.4,0.125186277,1,0.6,-0.832608959,0.489893229,0.405822524,-0.204732752,2.748026565,0.004298305,0.52786369,-0.835832128
2_WPS5_A1_223_Competition_and_Cooperation.txt,competition,-0.10956,3.5,301,-0.518562092,1,0.332225914,14.2,4.5,1.747385621,8.452433333,126,615.6531,1060.183278,0.714285714,2.201612903,19.65666667,0.551020408,3.235294118,0.10367893,0,0,2.833333333,0.642857143,-1.232176435,0.701498316,0.445229682,0.726666667,1.357142857,0.834038315,1,4.866666667,0.159951189,1,0.8,-0.655646375,0.275132047,0.21498193,0.117968584,1.674187856,-0.268552933,0.52786369,-0.672304574
2_WPS5_A1_228_Competition_and_Cooperation.txt,competition,-1.67489,2.5,238,-0.521916667,1,0.420168067,13.69565217,0,1.716666667,8.433067227,105,609.8469328,840.1994318,0,1.844444444,21.63865546,0.617647059,4.391666667,0.101694915,1,0.420168067,4.444444444,0,-1.257180134,0.81142437,0.456521739,0.696202532,1,0.826892138,0,7.428571429,0.169427216,0,1.571428571,-0.655646375,0.110121901,-0.586548567,1.677691708,-1.299519342,-0.48300123,-2.104599387,-0.629017868
2_WPS5_A1_259_Competition_and_Cooperation.txt,competition,-0.79117,2.5,239,-0.55875,17,7.112970711,13.71538462,1.5,1.644117647,8.444978903,98,618.8518143,973.6793881,0.8,1.896103896,23.95780591,0.563636364,5.132352941,0.029535865,8,3.347280335,3.384615385,0.176470588,-1.344674864,0.726004274,0.417021277,0.621848739,1.222222222,0.687075871,0.5,4.5,0.132312916,1,1.7,2.175754973,0.211616099,-0.853725399,0.651666948,-0.483207563,-0.989464236,0.52786369,2.66529966
2_WPS5_A1_265_Competition_and_Cooperation.txt,competition,0.22363,3.5,220,-0.503722628,0,0,13.25185185,2,1.834926471,8.350322581,92,616.6471101,1134.029917,0.571428571,1.95505618,20.52752294,0.577777778,4.313868613,0.110091743,0,0,2,0.352941176,-1.201720415,0.773657143,0.450980392,0.593607306,0.375,0.777518044,1,3,0.170534112,1,0.470588235,-0.832608959,-0.594909152,-1.082734112,-0.688784756,0.333104215,0.342567687,0.52786369,-0.835832128
2_WPS5_A1_271_Competition_and_Cooperation.txt,competition,-0.29835,4,341,-0.478208955,2,0.586510264,12.86243386,5.333333333,1.805025126,8.409641791,149,620.0518694,1008.829075,0.166666667,2.034482759,19.92330383,0.604026846,4.379310345,0.04719764,0,0,2.739130435,0.363636364,-1.355640467,0.826130841,0.465625,0.538235294,0.6875,0.738358106,1,3.588235294,0.132024198,1,1.705882353,-0.47868379,-0.089476026,1.092848664,0.026770381,0.38257766,0.133827099,0.52786369,-0.547141255
2_WPS5_A2_105_Competition_and_Cooperation.txt,competition,0.11324,3,268,-0.555533333,0,0,14.09589041,4.5,1.525333333,8.659588015,112,613.8678652,1435.003774,0.5,1.619565217,25.65168539,0.574257426,5.773333333,0.15037594,0,0,2.894736842,0.409090909,-1.091525292,0.598724806,0.449799197,0.782771536,1.076923077,0.773070785,1,4.142857143,0.181415228,1,1,-0.832608959,2.040206776,-0.319371735,0.177413567,0.592839783,-1.818694745,0.52786369,-0.835832128
2_WPS5_A2_125_Competition_and_Cooperation.txt,competition,-1.36636,2.5,288,-0.537692308,3,1.041666667,13.2345679,0,1.630487805,8.661766784,118,613.6677431,1047.767502,0,1.64957265,23.49305556,0.648854962,5,0.062937063,1,0.347222222,2.555555556,0,-1.341299112,0.927817204,0.448669202,0.56445993,0.176470588,0.668037081,0,2.055555556,0.133564444,0,0.388888889,-0.301721206,2.058771117,-0.090363021,-0.150949195,-1.299519342,-1.084613843,-2.104599387,-0.323105108
2_WPS5_A2_138_Competition_and_Cooperation.txt,competition,0.02813,3.5,265,-0.50275641,1,0.377358491,13.69655172,4,1.757482993,8.466837945,97,622.4851527,1349.51289,0.625,1.488372093,18.91984733,0.543307087,3.032051282,0.095057034,0,0,3.428571429,0.235294118,-1.2123951,0.789401674,0.388,0.579545455,0.444444444,0.683393793,1,4.3,0.13972465,1,0.9,-0.655646375,0.397867466,-0.891893518,0.69422097,-0.211103634,-0.198063416,0.52786369,-0.650089509
2_WPS5_A2_159_Competition_and_Cooperation.txt,competition,0.4206,3.5,292,-0.508079096,2,0.684931507,12.67836257,5.666666667,1.722571429,8.294076655,135,616.1548443,895.6796473,1,1.683760684,18.52068966,0.655172414,3.983146067,0.065517241,1,0.342465753,2.315789474,0.414634146,-1.334635401,0.867217228,0.489130435,0.515463918,0.285714286,0.717405983,1,3.866666667,0.138439511,0.75,0.4,-0.47868379,-1.074156165,0.558494999,-0.3830677,0.618481504,-0.441780225,-0.130252079,-0.498696553
2_WPS5_A2_163_Competition_and_Cooperation.txt,competition,-0.15792,3,281,-0.514,5,1.779359431,13.32515337,4,1.729341317,8.494117647,105,620.3801786,1263.78719,0.5,2.510638298,23.15714286,0.560747664,4.342857143,0.075268817,1,0.355871886,3.066666667,0.461538462,-1.272070753,0.820890152,0.405405405,0.560714286,1.3,0.686368805,1,3.636363636,0.125064417,1,1.181818182,0.052203962,0.630305913,-0.586548567,0.34385952,0.83544993,-0.394519795,0.52786369,0.040000505
2_WPS5_A2_180_Competition_and_Cooperation.txt,competition,0.86064,4.5,328,-0.492356021,1,0.304878049,13.33519553,6,1.827540107,8.44184127,137,627.0495298,758.5448263,0.8,2.564285714,20.76802508,0.608108108,4.167539267,0.039877301,0,0,3,0.413793103,-1.347644876,0.921871473,0.443365696,0.562691131,0.777777778,0.806040395,1,6.4,0.116970864,1,1.1,-0.655646375,0.184881696,0.634831237,0.279319252,0.614591036,0.291003653,0.52786369,-0.685765683
2_WPS5_A2_207_Competition_and_Cooperation.txt,competition,-0.18596,3.5,349,-0.386331658,1,0.286532951,11.76086957,0,1.963888889,8.432463768,147,641.4384393,844.1319637,0,3.408759124,18.53602305,0.666666667,2.635,0.063400576,1,0.286532951,2.833333333,0,-1.274008653,0.973228571,0.43880597,0.459770115,0.333333333,0.686034844,0,6.2,0.181822189,0,1,-0.655646375,0.10498009,1.016512426,0.117968584,-1.299519342,1.242851301,-2.104599387,-0.69479547
